Nome,Ano_Nasc,Pais,Campo_Principal,link
Marshall H. Stone,1903.0,U.S.,Real analysis,https://en.wikipedia.org/wiki/Marshall_Harvey_Stone
John David Jackson (physicist),1925.0,Canada,Nuclear physicsParticle physicsElectrodynamics,https://en.wikipedia.org/wiki/J._David_Jackson
Phyllis Nicolson,1917.0,England,Mathematics,https://en.wikipedia.org/wiki/Phyllis_Nicolson
Francis William Aston,1877.0,England,Chemistry,https://en.wikipedia.org/wiki/Francis_William_Aston
Norman Steenrod,1910.0,Ohio,Mathematics,https://en.wikipedia.org/wiki/Norman_Steenrod
Marcel Grossmann,1878.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Marcel_Grossmann
Shaun Wylie,1913.0,England,Mathematics,https://en.wikipedia.org/wiki/Shaun_Wylie
Yuval Peres,1963.0,Israel,Mathematics,https://en.wikipedia.org/wiki/Yuval_Peres
E. H. Moore,1862.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/E._H._Moore
Balthasar van der Pol,1889.0,Netherlands,Physics,https://en.wikipedia.org/wiki/Balthasar_van_der_Pol
Dana Scott,1932.0,California,Computer science,https://en.wikipedia.org/wiki/Dana_Scott
Harriet Brooks,1876.0,Ontario,Nuclear physics,https://en.wikipedia.org/wiki/Harriet_Brooks
Theodore Wilbur Anderson,1918.0,U.S.,Mathematical statistics,https://en.wikipedia.org/wiki/Theodore_Wilbur_Anderson
Robert Zimmer,1947.0,U.S.,Mathematical statistics,https://en.wikipedia.org/wiki/Robert_Zimmer
M. S. Bartlett,1910.0,England,Mathematical statistics,https://en.wikipedia.org/wiki/M._S._Bartlett
Stephen Gray (scientist),1666.0,England,Chemistry,https://en.wikipedia.org/wiki/Stephen_Gray_(scientist)
Gabriel Dover,1937.0,BornGabriel A. Dover(1937-12-13)13 December 1937Manchester,Chemistry,https://en.wikipedia.org/wiki/Gabriel_Dover
Rodolfo Gambini,1946.0,Uruguay,Chemistry,https://en.wikipedia.org/wiki/Rodolfo_Gambini
Richard E. Bellman,1920.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Richard_Bellman
Christopher Zeeman,1925.0,BornErik Christopher Zeeman(1925-02-04)4 February 1925Japan,Mathematics,https://en.wikipedia.org/wiki/Christopher_Zeeman
Mildred Dresselhaus,1930.0,U.S.,Applied physics,https://en.wikipedia.org/wiki/Mildred_Dresselhaus
George Darwin,1845.0,England,Astronomy,https://en.wikipedia.org/wiki/George_Darwin
